name,optimizer,learning_rate,seed,best_val_r2,epoch,train_loss,val_loss,val_mse,val_r2,runtime_s,state
trial-3-adam-lr0.01-s2,adam,0.01,2,0.7945483922958374,99,0.23904222599411196,0.4426300773253808,0.4426300773253808,0.6700886487960815,108,finished
trial-6-adam-lr0.01-s5,adam,0.01,5,0.816685676574707,99,0.24048481280951536,0.33154915204414953,0.33154915204414953,0.7602630853652954,98,finished
trial-5-adam-lr0.01-s4,adam,0.01,4,0.8081910014152527,99,0.242382866554251,0.4437873764679982,0.4437873764679982,0.658637285232544,101,finished
trial-2-adam-lr0.01-s1,adam,0.01,1,0.802759051322937,99,0.24265839702399203,0.6723257101499117,0.6723257101499117,0.4867091774940491,110,finished
trial-1-adam-lr0.01-s0,adam,0.01,0,0.7984710931777954,99,0.24059256720681524,0.5357673970552591,0.5357673970552591,0.5876839756965637,99,finished
trial-4-adam-lr0.01-s3,adam,0.01,3,0.8160749673843384,99,0.24536038903418436,0.2521608957877526,0.2521608957877526,0.8090423345565796,115,finished
trial-7-adam-lr0.01-s6,adam,0.01,6,0.7957951426506042,99,0.23770043689959733,0.683633858194718,0.683633858194718,0.48184287548065186,79,finished
trial-11-adam-lr0.003-s0,adam,0.003,0,0.8062044978141785,99,0.22274375750228417,0.48382173558840386,0.48382173558840386,0.6277726888656616,71,finished
trial-12-adam-lr0.003-s1,adam,0.003,1,0.8039554357528687,99,0.22201656873605047,0.6573684747402485,0.6573684747402485,0.4984789490699768,72,finished
trial-9-adam-lr0.01-s8,adam,0.01,8,0.8066904544830322,99,0.24225091896662415,0.324462479352951,0.324462479352951,0.7523748278617859,90,finished
trial-8-adam-lr0.01-s7,adam,0.01,7,0.7965104579925537,99,0.23571874983897503,0.34564308317808007,0.34564308317808007,0.7419826984405518,90,finished
trial-10-adam-lr0.01-s9,adam,0.01,9,0.7790881991386414,99,0.24003379650471743,0.33665194671887616,0.33665194671887616,0.7502546310424805,93,finished
trial-18-adam-lr0.003-s7,adam,0.003,7,0.7921391725540161,99,0.21785736173506856,1.228246114116449,1.228246114116449,0.08069086074829102,69,finished
trial-17-adam-lr0.003-s6,adam,0.003,6,0.7977633476257324,99,0.2220411518112171,0.35602592390317184,0.35602592390317184,0.7302480936050415,98,finished
trial-13-adam-lr0.003-s2,adam,0.003,2,0.8070499897003174,99,0.22442254652233087,0.4642687121262917,0.4642687121262917,0.6541098356246948,72,finished
trial-15-adam-lr0.003-s4,adam,0.003,4,0.8061708807945251,99,0.2230434409638708,0.436922000004695,0.436922000004695,0.6640642881393433,86,finished
trial-14-adam-lr0.003-s3,adam,0.003,3,0.8193165063858032,99,0.2229944438088772,0.24696297943592072,0.24696297943592072,0.8146125078201294,81,finished
trial-16-adam-lr0.003-s5,adam,0.003,5,0.8183945417404175,99,0.2242957192162673,0.2814730018377304,0.2814730018377304,0.7967699766159058,86,finished
trial-24-adam-lr0.001-s3,adam,0.001,3,0.8151472210884094,99,0.2248769899786905,0.25790709864634737,0.25790709864634737,0.8067787885665894,69,finished
trial-19-adam-lr0.003-s8,adam,0.003,8,0.8077260255813599,99,0.2234670746234036,0.33329105308422674,0.33329105308422674,0.7457643747329712,74,finished
trial-23-adam-lr0.001-s2,adam,0.001,2,0.8080699443817139,99,0.2250897257133972,0.48611194353837234,0.48611194353837234,0.6379773616790771,73,finished
trial-20-adam-lr0.003-s9,adam,0.003,9,0.8035610914230347,99,0.22593499645013215,0.5232597101193208,0.5232597101193208,0.6097661256790161,85,finished
trial-21-adam-lr0.001-s0,adam,0.001,0,0.8096193075180054,99,0.22311096335219785,0.30528876471977967,0.30528876471977967,0.7653756737709045,80,finished
trial-22-adam-lr0.001-s1,adam,0.001,1,0.8051313757896423,99,0.2236467180557029,0.6611316841382247,0.6611316841382247,0.4952270984649658,83,finished
trial-30-adam-lr0.001-s9,adam,0.001,9,0.8057658672332764,99,0.2211994536567566,0.5516756049715555,0.5516756049715555,0.5883387327194214,68,finished
trial-25-adam-lr0.001-s4,adam,0.001,4,0.8029153347015381,99,0.22366483792547107,0.4213712706015661,0.4213712706015661,0.676432728767395,82,finished
trial-29-adam-lr0.001-s8,adam,0.001,8,0.8053438663482666,99,0.22232970514500788,0.31615114831007446,0.31615114831007446,0.7590658068656921,72,finished
trial-27-adam-lr0.001-s6,adam,0.001,6,0.795836865901947,99,0.2188281666400821,0.2853106548006718,0.2853106548006718,0.783967137336731,81,finished
trial-26-adam-lr0.001-s5,adam,0.001,5,0.8191368579864502,99,0.22165772541202317,0.27117389291524885,0.27117389291524885,0.8036164045333862,82,finished
trial-28-adam-lr0.001-s7,adam,0.001,7,0.7925719618797302,99,0.21841593502565873,0.3955953985452652,0.3955953985452652,0.7044289112091064,86,finished
trial-36-muon-lr0.01-s5,muon,0.01,5,0.7998225092887878,99,0.31349879670743797,0.3204571712475557,0.3204571712475557,0.7683721780776978,434,finished
trial-31-muon-lr0.01-s0,muon,0.01,0,0.7752276659011841,99,0.3134390235293743,0.5175737972442921,0.5175737972442921,0.6014328002929688,460,finished
trial-35-muon-lr0.01-s4,muon,0.01,4,0.7761303186416626,99,0.3178381201370742,0.44004776729987216,0.44004776729987216,0.6614255905151367,447,finished
trial-33-muon-lr0.01-s2,muon,0.01,2,0.7920376062393188,99,0.3172450089870497,0.5233908226856818,0.5233908226856818,0.6100296974182129,506,finished
trial-32-muon-lr0.01-s1,muon,0.01,1,0.7836002707481384,99,0.31490683330352914,0.49426787472688233,0.49426787472688233,0.6230727434158325,499,finished
trial-34-muon-lr0.01-s3,muon,0.01,3,0.7997040748596191,99,0.32130569017441696,0.2757065046292085,0.2757065046292085,0.7910715341567993,496,finished
trial-42-muon-lr0.003-s1,muon,0.003,1,0.7993733882904053,99,0.261057930514794,0.5787107185675547,0.5787107185675547,0.5584912896156311,404,finished
trial-41-muon-lr0.003-s0,muon,0.003,0,0.799167811870575,99,0.2582329192538132,0.3777517896432143,0.3777517896432143,0.7098850011825562,446,finished
trial-37-muon-lr0.01-s6,muon,0.01,6,0.7742148041725159,99,0.3151359554062518,0.3272116608344592,0.3272116608344592,0.7526525259017944,447,finished
trial-38-muon-lr0.01-s7,muon,0.01,7,0.7114952206611633,99,0.3084608528387639,0.8049311940486614,0.8049311940486614,0.3980339765548706,490,finished
trial-39-muon-lr0.01-s8,muon,0.01,8,0.7908602356910706,99,0.3185536508527837,0.3739098959244215,0.3739098959244215,0.7148033380508423,495,finished
trial-40-muon-lr0.01-s9,muon,0.01,9,0.7637372016906738,99,0.3163907289967056,0.4006410690454336,0.4006410690454336,0.7017538547515869,493,finished
trial-48-muon-lr0.003-s7,muon,0.003,7,0.7919600009918213,99,0.25402131249276244,0.32998419931301703,0.32998419931301703,0.7535786628723145,402,finished
trial-47-muon-lr0.003-s6,muon,0.003,6,0.7926113605499268,99,0.25773269056465276,0.3397598671225401,0.3397598671225401,0.7428337931632996,436,finished
trial-43-muon-lr0.003-s2,muon,0.003,2,0.8083381652832031,99,0.26095901741537936,0.4735727624251293,0.4735727624251293,0.647203266620636,458,finished
trial-44-muon-lr0.003-s3,muon,0.003,3,0.8155407905578613,99,0.26923916425353794,0.27731785499132594,0.27731785499132594,0.7921701073646545,509,finished
trial-45-muon-lr0.003-s4,muon,0.003,4,0.8013837933540344,99,0.2600718572909056,0.4688682627219421,0.4688682627219421,0.6395471096038818,494,finished
trial-46-muon-lr0.003-s5,muon,0.003,5,0.8137491941452026,99,0.2581558941119863,0.3285968452692032,0.3285968452692032,0.7616409063339233,510,finished
trial-54-muon-lr0.001-s3,muon,0.001,3,0.819411039352417,99,0.23355167451523995,0.2578570743019764,0.2578570743019764,0.8084729909896851,298,finished
trial-53-muon-lr0.001-s2,muon,0.001,2,0.809454083442688,99,0.22855942710772045,0.43231177375866814,0.43231177375866814,0.6780461072921753,288,finished
trial-49-muon-lr0.003-s8,muon,0.003,8,0.8080862760543823,99,0.2614890302047711,0.32752567071181077,0.32752567071181077,0.750070333480835,443,finished
trial-60-muon-lr0.001-s9,muon,0.001,9,0.796803891658783,99,0.22350630285434944,0.2905424558199369,0.2905424558199369,0.7838267087936401,306,finished
trial-51-muon-lr0.001-s0,muon,0.001,0,0.8077035546302795,99,0.2249551453273888,0.29849457419835607,0.29849457419835607,0.7711204886436462,373,finished
trial-50-muon-lr0.003-s9,muon,0.003,9,0.8034728765487671,99,0.2585849177756513,1.6729994651216726,1.6729994651216726,-0.2534933090209961,489,finished
trial-52-muon-lr0.001-s1,muon,0.001,1,0.8019019961357117,99,0.228377370120481,0.5266276217423953,0.5266276217423953,0.5977924466133118,358,finished
trial-59-muon-lr0.001-s8,muon,0.001,8,0.8032863736152649,99,0.22897745388769364,0.3303888868827086,0.3303888868827086,0.7481205463409424,314,finished
trial-55-muon-lr0.001-s4,muon,0.001,4,0.8086915612220764,99,0.2293686977652616,0.4202504841180948,0.4202504841180948,0.6769924163818359,303,finished
trial-57-muon-lr0.001-s6,muon,0.001,6,0.7981062531471252,99,0.2237752828198348,0.27890138500011885,0.27890138500011885,0.7888270616531372,355,finished
trial-58-muon-lr0.001-s7,muon,0.001,7,0.7967070937156677,99,0.2190061108490755,0.29532305277310883,0.29532305277310883,0.7795660495758057,340,finished
trial-56-muon-lr0.001-s5,muon,0.001,5,0.8167925477027893,99,0.22449412462554236,0.2893603062400451,0.2893603062400451,0.790336012840271,332,finished
